"id","transaction_id","confirmed","notified","subaccount_id","amount","coin","network","insert_time","confirm_times","source_address","attempts","created_at","updated_at","destination_address","destination_address_tag","balanced"
617611,"740547610c8c885e14155cdb25cc1c7be753192200ba2083b7c4ea6b4ee4b153",1,1,"2756821023139613697",0.00522319000000000000,"BTC","BTC","1668293328000","1/1","bc1q83m7673h0cdavwpytqhd3stn3cvmn09wd25r7l",0,"2022-11-12 22:50:16","2022-11-12 22:59:53","1Pe1dojy3RJphUtF8VRX9ToM5ujhcGdfXi",,0
617612,"b1aa5548e68bbd19b9a2bd47f22bcc79ba69ba0c2c28505ff6b120db37f461af",1,1,"3184158367125821185",0.00026811000000000000,"BTC","BTC","1668293320000","1/1","3No8pQ4zgKupjw3CqcHpP3uu8VY4UnuwBv",0,"2022-11-12 22:50:16","2022-11-12 22:59:55","1Q2qyP2kPy4gmBqNUjvo11KKNq8BNLFr4G",,0
617613,"4758f6c8cbdf4c3b2d8a36c2bc43cc5b75e2479a7b622fef7e5d8119c457eb46",1,1,"2645047756951322881",0.00157508000000000000,"BTC","BTC","1668293320000","1/1","36XkMC5AGTQC5ya28dvveMWzpRcMbgFVHB",0,"2022-11-12 22:50:16","2022-11-12 22:59:57","15b32s55EUkvxdnkvfjLjjfXvofN4gJKVD",,0
617541,"0xa15d8f058a287c730cb29bd0650dd45fd432858a3d3798937d5630da75c33f62",1,1,"3112200614322485760",0.08568558000000000000,"BNB","BSC","1668293281000","15/15","0x80d1a1d8fae3f926c9dfb83dfba6e287b5cbc181",0,"2022-11-12 22:48:14","2022-11-12 22:51:15","0x7077e31c30d42af552f3e52769fd5ab45d65472d",,0
617542,"Internal transfer 122048111213",1,1,"2824949840567712256",10.00000000000000000000,"USDT","BSC","1668293252000","1/15","122048111213",0,"2022-11-12 22:48:14","2022-11-12 22:48:44","0xa6fca0559cbd47eede1dc55a364f2ac0617d7d4e",,0
617543,"Internal transfer 122048106004",1,1,"2968634004606756864",0.00464820000000000000,"BTC","BTC","1668293240000","1/1","122048106004",0,"2022-11-12 22:48:14","2022-11-12 22:48:45","1A5wwHXGz94Bf2aJWypBnEj5qn7mU4Em7r",,0
617538,"0x089432d0884697f8517a47b832be1cd63d618e783cba99f32ad1b2f8d88235bd",1,1,"2726166616326721537",48.00000000000000000000,"USDT","BSC","1668293150000","15/15","0x1ccfc4e4b9c05b99cfe43dac0dc84bf48b99e745",0,"2022-11-12 22:46:13","2022-11-12 22:48:42","0x1aecdee3c86551b5b8fb1e762a8954f70267ce03",,0
617539,"0x70b71f09ac8dad99bf995c83c08e73524075cd40ca9a4439a39306536af38cc2",1,1,"2581116570151155200",0.70820000000000000000,"BNB","BSC","1668293110000","15/15","0xfa500178de024bf43cfa69b7e636a28ab68f2741",0,"2022-11-12 22:46:13","2022-11-12 22:46:43","0xc5bac5dfa78dfb7756721fabe0a217becd4939e9",,0
617540,"0x5341dabf1c6cc59f56662b0b3e429632cc288b2d5f5ac96208ccf3b3c0502c96",1,1,"3108919938549475328",63.66286593000000000000,"BUSD","BSC","1668293060000","15/15","0x2fe1c95777b1665f02013cd98c3693f334c82d0e",0,"2022-11-12 22:46:13","2022-11-12 22:46:45","0x3d60d293f22c99c419d293aeac5e0161048db811",,0
617535,"0x2430a1c711aebf0c89b546595896f4761d360269b887d8c3af16863393f3fe8d",1,1,"2965116885382122240",0.00891305000000000000,"BNB","BSC","1668292980000","15/15","0xced52ba359882e6ebdb7ba421dd7c06c83eefa62",0,"2022-11-12 22:44:13","2022-11-12 22:44:48","0xab24abc7b190c188ed9f3ebaae6576100c7aefe1",,0
